"Language","Source Text","Translated Text"
"ar","Unpublish","إلغاء النشر"
"ar","Article","موضوع"
"ar","Edit Title","تحرير العنوان"
"ar","Add New Article","إضافة محتوى"
"ar","Jump to","الانتقال إلى"
"ar","Agent","مسؤول المتابعة"
"ar","Feedback Trend","حركة تقييم الخدمة"
"ar","Ticket Trend","أعداد التذاكر"
"ar"," days"," أيام"
"ar"," hrs"," س"
"ar","Avg. Feedback Rating","متوسط تقييم الخدمة"
"ar","Avg. Resolution","معدل فترة الحل"
"ar","Avg. First Response","معدل أول استجابة"
"ar","% SLA Fulfilled","% مستوى الخدمة"
"ar","Team","الفريق"
"ar","Failed","فشلت"
"ar","Last 90 Days","آخر 90 يوم"
"ar","Last 60 Days","آخر 60 يوم"
"ar","Last 7 Days","آخر 7 أيام"
"ar","Last 30 Days","آخر 30 يوم"
"ar","Merge with ticket","قم بالدمج مع التذكرة"
"ar","This action is irreversible.","هذه العملية غير قابلة للإلغاء"
"ar","Ticket","تذكرة"
"ar","Ticket Subject","عنوان التذكرة"
"ar","Select Ticket","حدد تذكرة"
"ar","will be moved to the selected ticket.","سيتم نقلها للتذكرة المحددة"
"ar","All comments and emails of the ticket","جميع التعليقات والمراسلات الخاصة بالتذكرة"
"ar","Detailed explanation","يمكنك إضافة التفاصيل هنا"
"ar","Please enter a subject to continue","فضلاً أدخل عنواناً للمتابعة"
"ar","A short description","اكتب وصف مبسط"
"ar","New Ticket","تذكرة جديدة"
"ar","Merge with another ticket","الدمج مع تذكرة أخرى"
"ar","No results found","لا يوجد عناصر لعرضها"
"ar","Clear Selection","إلغاء التحديد"
"ar","Agent Group","مجموعة ممثل الخدمة"
"ar","Ticket Type","نوع التذكرة"
"ar","Mail","البريد"
"ar","Portal","البوابة"
"ar","Failed","فشل"
"ar","Fulfilled in","تم تنفيذه في"
"ar","Due in","مستحق خلال"
"ar","First Response","الاستجابة الأولى"
"ar","Pick an option","حدد أحد الخيارات"
"ar","Select a rating","اختر تقييم"
"ar","Rate this ticket","قيم هذه التذكرة"
"ar","Merge Ticket","دمج"
"ar","Discard","إلغاء"
"ar","@John could you please look into this?","@محمد فضلاً هل يمكنك متابعة هذا الأمر"
"ar","Hi John, we are looking into this issue.","مرحباً محمد، نحن نعالج هذه المسألة."
"ar","Are you sure you want to confirm this action?","هل أنت متأكد من أنك تريد المتابعة؟"
"ar","Delete Comment","تأكيد الحذف"
"ar","changes from","تغييرات من قبل"
"ar","Email has no recipients. Please add at least one email address in the 'TO' field.","لا يوجد مستلمون للبريد الإلكتروني. يُرجى إضافة عنوان بريد إلكتروني واحد على الأقل في حقل ""إلى"""
"ar","Sending...","جاري الإرسال..."
"ar","TO","إلى"
"ar","is an invalid email address","عنوان بريد غير صحيح"
"ar","added a","أضاف"
"ar","Incident","حادثة"
"ar","Unspecified","غير محدد"
"ar","Create View","طريقة عرض جديدة"
"ar","List View","عرض كقائمة"
"ar","Default Views","خيارات العرض الافتراضية"
"ar","No Tickets Found","لا يوجد تذاكر لعرضها"
"ar","And","و"
"ar","Where","حيث"
"ar","Clear all Filter","حذف كل عناصر التصفية"
"ar","Add Filter","إضافة عنصر تصفية"
"ar","Sort","فرز"
"ar","Clear Sort","إزالة الجميع"
"ar","Add Sort","إضافة عمود للفرز"
"ar","Save Changes","حفظ التغييرات"
"ar","Reset to Default","استعادة الوضع الافتراضي"
"ar","First response","أول استجابة"
"ar","Last Modified","آخر تعديل"
"ar","Empty - Choose a field to filter by","اختر عمود للتصفية"
"ar","SortBy","فرز"
"ar","Log out","تسجيل الخروج"
"ar","Languages","اللغات"
"ar","Apps","التطبيقات"
"ar","Tickets","التذاكر"
"ar","Dashboard","لوحة المعلومات"
